txn_id,client,billed_amount,timestamp
TXN-1001,Acme Corp,12000,2025-12-01 09:15:00
TXN-1002,GlobalTech Inc,8500,2025-12-02 11:30:00
TXN-1003,Beta Industries,5000,2025-12-03 14:20:00
TXN-1004,Omega Solutions,15000,2025-12-04 10:45:00
TXN-1005,Phantom LLC,7200,2025-12-05 16:00:00
TXN-1006,Delta Enterprises,9800,2025-12-06 13:10:00
TXN-1007,Epsilon Group,11500,2025-12-07 08:50:00
TXN-1008,Control Co,6000,2025-12-08 15:30:00
TXN-1009,Zenith Partners,13200,2025-12-09 12:00:00
TXN-1010,Vortex Systems,10500,2025-12-10 17:20:00
